Target,Model,R2,MAE,RMSE
Tensile Strength (MPa),RF,0.9732822074078163,15.95203232372936,24.72180982994469
Tensile Strength (MPa),XGB,0.9620785841932186,22.44135741196576,29.452505516342054
Yield Strength (MPa),RF,0.9729185991199887,17.95406375352897,25.263906959183053
Yield Strength (MPa),XGB,0.9615083114186925,22.964593328369794,30.119546739179142
Elongation (%),RF,0.8506593848186195,1.7496706422989732,2.797036846859042
Elongation (%),XGB,0.6277853933116564,3.0879013510311353,4.415764722732629
